Disease Name,Symptoms,Medicine Name,Dosage Instructions
Typhoid,"Persistent cough, Weight loss, Night sweats",Methotrexate,Take before sleep
Hepatitis B,"Jaundice, Dark urine, Fatigue",Rifampin,Take with water after meals
Hypertension,"Persistent cough, Weight loss, Night sweats",Azithromycin,Take 2 tablets daily after meals
Migraine,"Joint pain, Swelling",Losartan,Inject once daily
Common Cold,"Persistent cough, Weight loss, Night sweats",Hydroxychloroquine,Take 1 tablet every 6 hours
Typhoid,"Fever, Loss of taste/smell",Ventolin,Use inhaler as needed
Pneumonia,"Red spots on skin, Fever",Ibuprofen,Take 5ml syrup before bedtime
Malaria,"Frequent urination, Increased thirst",Azithromycin,Take 2 tablets daily after meals
COVID-19,"Nausea, Sensitivity to light",Vitamin C,Take 1 tablet every 6 hours
Sinusitis,"Skin rash, High fever, Bleeding gums",Chloroquine,Take before sleep
Chickenpox,"Facial pain, Runny nose, Headache",Prednisone,Apply cream twice a day
Asthma,"Wheezing, Shortness of breath",Amoxicillin,Take before sleep
Chickenpox,"Facial pain, Runny nose, Headache",Aspirin,Take before sleep
Tuberculosis,"Fever, Cough, Fatigue",Azithromycin,Take before sleep
Hepatitis B,"Wheezing, Shortness of breath",Paracetamol,Take with water after meals
Migraine,"Nausea, Sensitivity to light",Cetirizine,1 capsule every morning with food
Typhoid,"Joint pain, Swelling",Metformin,Take 5ml syrup before bedtime
COVID-19,"Headache, Dizziness, Blurred vision",Losartan,Apply cream twice a day
Influenza,"Abdominal pain, High fever, Loss of appetite",Isoniazid,Take with water after meals
Pneumonia,"Headache, Dizziness, Blurred vision",Chloroquine,Take 5ml syrup before bedtime
Sinusitis,"Fever, Loss of taste/smell",Amoxicillin,Take 1 tablet every 6 hours
Common Cold,"Skin rash, Fever",Aspirin,Apply cream twice a day
Sinusitis,"Fever, Cough, Fatigue",Methotrexate,Inject once daily
Malaria,"Joint pain, Swelling",Loratadine,Take 5ml syrup before bedtime
Migraine,"Jaundice, Dark urine, Fatigue",Prednisone,Use inhaler as needed
Hepatitis B,"Swollen salivary glands, Fever",Chloroquine,Take 1 tablet every 6 hours
Arthritis,"Fever, Cough, Fatigue",Azithromycin,Take 1 tablet every 6 hours
Pneumonia,"Skin rash, High fever, Bleeding gums",Chloroquine,Take 5ml syrup before bedtime
COVID-19,"Skin rash, Fever",Doxycycline,1 tablet every 12 hours
Chickenpox,"Wheezing, Shortness of breath",Artemether,Take 2 tablets daily after meals
COVID-19,"Sneezing, Sore throat",Amoxicillin,1 capsule every morning with food
Measles,"Cough, Mucus production",Cetirizine,Take with water after meals
Mumps,"Fever, Loss of taste/smell",Amoxicillin,1 tablet every 12 hours
Arthritis,"Frequent urination, Increased thirst",Zinc Sulfate,Take 2 tablets daily after meals
Pneumonia,"Shortness of breath, Chest pain",Loratadine,Take 5ml syrup before bedtime
Tuberculosis,"Nausea, Sensitivity to light",Omeprazole,1 tablet every 12 hours
Migraine,"Swollen salivary glands, Fever",Isoniazid,Take before sleep
Mumps,"Cough, Mucus production",Doxycycline,1 tablet every 12 hours
Migraine,"Facial pain, Runny nose, Headache",Vitamin C,Take 1 tablet every 6 hours
Arthritis,"Jaundice, Dark urine, Fatigue",Loratadine,Take 2 tablets daily after meals
Hepatitis B,"Facial pain, Runny nose, Headache",Omeprazole,Take before sleep
Mumps,"Headache, Dizziness, Blurred vision",Paracetamol,1 tablet every 12 hours
Mumps,"Abdominal pain, High fever, Loss of appetite",Loratadine,Take before sleep
Hypertension,"Jaundice, Dark urine, Fatigue",Methotrexate,1 tablet every 12 hours
COVID-19,"Sneezing, Sore throat",Rifampin,Take 2 tablets daily after meals
Hepatitis C,"Nausea, Vomiting, Diarrhea",Chloroquine,1 capsule every morning with food
Chickenpox,"Nausea, Sensitivity to light",Doxycycline,Apply cream twice a day
